model,layers,sample,runtime_s,qubits,damping,threads,seed
native,6,5,3.120140418410301,16,0.005,64,0
native,6,6,3.1141384094953537,16,0.005,64,0
C plugin,6,0,3.085169106721878,16,0.005,64,0
C plugin,6,1,3.0903929211199284,16,0.005,64,0
C plugin,6,2,3.148371970281005,16,0.005,64,0
C plugin,6,3,3.0747306533157825,16,0.005,64,0
C plugin,6,4,3.087310643866658,16,0.005,64,0
C plugin,6,5,3.0778793152421713,16,0.005,64,0
C plugin,6,6,3.063438316807151,16,0.005,64,0
Rust plugin,6,0,3.1134298238903284,16,0.005,64,0
Rust plugin,6,1,3.0806679986417294,16,0.005,64,0
Rust plugin,6,2,3.0823962558060884,16,0.005,64,0
Rust plugin,6,3,3.11254308745265,16,0.005,64,0
Rust plugin,6,4,3.139234436675906,16,0.005,64,0
Rust plugin,6,5,3.24456087872386,16,0.005,64,0
Rust plugin,6,6,3.0806787814944983,16,0.005,64,0
AOT Julia plugin,6,0,3.085331154987216,16,0.005,64,0
AOT Julia plugin,6,1,2.998644530773163,16,0.005,64,0
AOT Julia plugin,6,2,2.9494914300739765,16,0.005,64,0
AOT Julia plugin,6,3,3.0560637805610895,16,0.005,64,0
AOT Julia plugin,6,4,3.0786935295909643,16,0.005,64,0
AOT Julia plugin,6,5,3.125400058925152,16,0.005,64,0
AOT Julia plugin,6,6,3.0823232792317867,16,0.005,64,0
